id,country_id,e_date,seats_total,electorate,votes_cast,votes_valid,previous_parliament_election_id,previous_ep_election_id,e_type
825,54,2014-05-25,96,61998824,29843798,29355092,800,231,European Parliament
37,44,1979-06-10,81,41155166,13446091,13397858,243,,European Parliament
160,43,2004-06-13,78,41509136,17763671,17168682,403,273,European Parliament
196,44,2004-06-10,78,44157267,1700780,16869020,208,686,European Parliament
219,43,2009-06-07,72,44282823,17992161,17218614,171,160,European Parliament
222,44,1984-06-17,81,42493122,13998190,13961422,290,37,European Parliament
800,54,2013-09-22,631,61946900,44309925,43726856,93,231,Parliamentary election
273,43,1999-06-13,87,40132517,18766155,17647172,479,680,European Parliament
93,54,2009-09-27,622,62168489,44005575,43371190,118,231,Parliamentary election
351,44,1994-06-09,87,43441774,15852589,15811039,514,682,European Parliament
360,43,1989-06-18,81,38297496,18690692,18151416,643,415,European Parliament
231,54,2009-06-07,99,62222873,26923614,26333444,118,18,European Parliament
410,44,2009-06-04,72,45312626,15235619,15136932,233,196,European Parliament
415,43,1984-06-17,81,36880688,20911350,20180934,20,677,European Parliament
118,54,2005-09-18,614,61870711,48044134,47287988,385,18,Parliamentary election
18,54,2004-06-13,99,61682394,26523104,25783678,385,417,European Parliament
385,54,2002-09-22,603,61432868,48582761,47996480,679,417,Parliamentary election
677,43,1979-06-10,81,35180531,21356960,20242347,496,,European Parliament
680,43,1994-06-12,87,39019797,20584980,19487470,664,360,European Parliament
682,44,1989-06-15,81,43180720,15896078,15870465,490,222,European Parliament
686,44,1999-06-10,87,44458638,10681062,10656080,315,351,European Parliament
824,43,2014-05-24,74,46544712,19747893,18955761,782,219,European Parliament
417,54,1999-06-13,99,60786904,27468932,27059273,679,540,European Parliament
845,44,2014-05-22,73,46481532,16545761,16454949,582,410,European Parliament
20,43,1981-06-21,474,35536041,25182031,24822945,496,677,Parliamentary election
850,5,2014-12-14,475,103962785,54735787,53334447,788,,Parliamentary election
40,44,1974-10-10,635,40072970,29226810,29189104,568,,Parliamentary election
788,5,2012-12-16,480,103959866,61662947,60179888,327,,Parliamentary election
327,5,2009-08-30,480,103949442,71999121,70370255,554,,Parliamentary election
75,43,1946-11-10,544,25052523,19565743,19203071,348,,Parliamentary election
